selfies,y,source_split
47,[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][P][C][=N][C][=N][C][Branch2][Ring1][Branch1][C][=C][C][=C][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][C][Ring1][#Branch2][=C][Ring1][=C][=N][Ring2][Ring1][Ring2][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],train
48,[O][=C][C][=C][C][=C][C][=C][Branch1][O][N][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][Branch2][=C][Ring2][Ring1][=Branch1][Ring2][Ring1][C][C][=Branch1][C][=O][N][Ring2][Ring1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1],train
49,[N][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O][C][=C][Ring2][Ring1][=Branch1],train
50,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][=C][Ring1][#Branch1][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2],train
51,[C][C][O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Branch1][=Branch2][C][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],train
52,[N][#C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],train
53,[C][O][C][=N][C][Branch1][C][Cl][=N][C][Branch2][Ring1][=Branch1][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Ring1][=C][=N][Ring2][Ring1][=Branch1],train
54,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=C][C][=C][C][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][=C][Branch1][#C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=O][C][=C][C][Ring2][Ring1][=Branch2][=C][Ring2][Ring1][=N],train
55,[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][Branch2][C][=C][N][=C][Branch2][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][N][Ring1][#Branch1][C][C][C][Ring1][O][C][=N][C][=C][N][=C][Ring2][Ring1][#Branch1][Ring1][=Branch1][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][P][C][#N],train
56,[C][=Branch2][Ring1][=Branch1][=C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][N][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][C][=C][C][=C][C][=C][Branch1][Branch2][C][=N][C][=C][O][Ring1][Branch1][C][=C][Ring1][O][C][=N][C][=C][N][=C][Ring1][=Branch1][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1],train
57,[C][C][O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Branch1][=Branch2][C][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],train
58,[N][#C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2],train
59,[O][=C][N][C][Branch2][Ring2][=Branch2][C][=C][C][=N][C][C][=C][Branch2][Ring1][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][C][=C][N][Ring1][#Branch1][Cl][O][C][=Ring1][S][N][=C][Ring2][Ring1][Ring2][O][Ring2][Ring1][#Branch1][=C][C][=Branch1][C][=O][N][C][=C][Ring2][Ring1][S][Ring1][=Branch1],train
60,[C][C][=C][C][=C][S][C][=C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][=C][C][=C][Ring1][O][C][=Branch1][C][=O][C][Ring1][S][=C][Ring2][Ring1][Ring2],train
61,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
62,[C][N][C][C][C][C][=C][C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][=Ring1][O][C][=C][Ring1][#C][Ring2][Ring1][Ring1],train
63,[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch2][Ring1][S][C][=C][C][Branch1][=Branch2][C][=N][C][=C][C][=N][Ring1][=Branch1][=C][N][=C][Ring1][N][C][=C][C][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][=C][Ring2][Ring1][=N][Cl],train
64,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring1][=N][C][=O],train
65,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Branch1][P][C][=C][N][C][=C][Branch1][C][C][C][=C][C][Ring1][#Branch1][=N][Ring1][#Branch2][C][=Branch1][C][=O][O][C][Ring1][P][=C][Ring2][Ring1][Branch1],train
66,[C][O][C][=C][C][=C][C][C][=C][Branch1][Ring1][C][#N][C][=Branch1][C][=N][O][C][Ring1][=N][=Ring1][=Branch2],train
67,[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][Branch2][C][=C][N][=C][Branch2][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][N][Ring1][#Branch1][C][C][C][Ring1][O][C][=N][C][=C][N][=C][Ring2][Ring1][#Branch1][Ring1][=Branch1][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][P][C][#N],train
68,[C][C][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P],train
69,[C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
70,[C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][=C][C][=Branch1][#Branch1][=C][Ring2][Ring1][Ring1][Ring1][#C][C][Ring2][Ring1][#Branch1][=O],train
71,[C][O][C][=N][C][Branch1][C][Cl][=N][C][Branch2][Ring2][Ring1][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][Branch1][=C][C][=C][C][=C][C][Ring2][Ring1][C][=C][Ring1][=Branch1][Ring1][S][=C][Ring1][N][Ring1][S][=N][Ring2][Ring1][N],train
72,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
73,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
74,[N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],train
75,[N][C][=C][C][=N][C][=C][Ring1][=Branch1],train
76,[C][C][O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Branch1][=Branch2][C][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],train
