selfies,y,fidelity,source_split
[C][O][C][=C][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][C][=C][Branch1][Ring1][C][#N][C][#N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][P][C],0.8688,1,train
[N][C][=C][C][=C][C][C][=N][NH1][C][Ring1][=Branch2][=Ring1][Branch1],-0.7414,1,train
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][#C][C][#C][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2][C][=C][Ring1][S],0.5185,1,train
[C][=N][C][=N][C][Branch2][Ring1][Branch2][C][=C][C][=C][C][Branch1][=C][C][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][=C][Ring1][#C][=N][C][=N][C][Branch1][=Branch2][C][=N][C][=N][C][=N][Ring1][=Branch1][=N][C][=Branch1][Branch1][=N][Ring2][Ring1][P][N][Ring2][Ring1][S][Ring1][=N],2.4806,1,train
[N][C][C][C][=C][NH1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch2][Ring1][#Branch1],-1.2262,1,train
[O][=C][C][Branch2][Ring2][#Branch1][N][Branch1][S][C][=C][Branch1][C][F][C][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][=C][C][=Branch1][O][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][N][=S][=N][Ring1][O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][#C],2.8181,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][C][=O][N][N][C][=C][Branch1][=N][C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][=O][C][=Branch1][C][=O][C][C][C][Ring1][#C][C][=C][Ring2][Ring1][=Branch2],0.9132,1,train
[C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],-1.9808,1,train
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2],2.9261,1,train
[C][C][O][C][=Branch1][C][=O][C][=C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1],0.0257,1,train
[C][C][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][C][C][=C][C][S][C][C][=C][S][C][=Ring1][Branch1][C][=Ring1][Branch2][S][Ring1][O][C][=C][Ring1][P][C][=C][C][=C][Branch1][Branch2][C][C][=C][S][C][=Ring1][Branch1][C][=C][Ring1][O][C][Ring2][Ring1][=C][=C][Ring2][Ring2][C],1.1823,1,train
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch1][Ring1][C][#N][C][=Branch1][C][=O][NH1][Ring1][S][C][=C][Ring2][Ring1][=Branch1],0.7791,1,train
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][N][N][C][Branch1][C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][=N],-1.4394,1,train
[C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],-1.9808,1,train
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][N][N][C][Branch1][C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][=N],-1.4379,1,train
[C][C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][Branch1][C][C][=C][C][C][=C][C][=Branch1][C][=O][O][C][=Ring1][#Branch1][Ring1][=N],0.3766,1,train
[C][C][O][C][=Branch1][C][=O][C][=C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1],0.0226,1,train
[C][C][C][C][=C][C][=N][C][Ring1][Branch1][=C][C][=C][NH1][C][Branch1][Branch2][C][=C][Ring1][Branch1][C][C][C][=C][N][=C][Branch2][Ring1][Ring1][C][Branch1][C][O][=C][C][NH1][C][Ring2][Ring1][=Branch1][=C][C][=Ring1][Branch1][C][C][C][C][Branch1][Ring2][C][C][C][=C][Ring2][Ring1][Ring1],2.1782,1,train
[C][=C][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2],-0.971,1,train
[C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=C][C][=N][Ring1][O],-1.909,1,train
[O][=C][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][C][C][Branch1][Branch2][C][=C][N][=C][NH1][Ring1][Branch1][=C][S][C][=Ring1][#Branch2][Cl][=C][C][=C][Branch1][=N][C][=C][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][Branch1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Ring1][O][=O],2.884,1,train
[C][C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][N][C][#N][C][=C][N][Ring2][Ring1][Ring1][C][=C][N][=C][S][C][=N][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N],2.5275,1,train
[O][=C][O][C][C][=C][Ring1][Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][N][Ring1][S][C][C][O][C][C][C][Ring1][O],0.0658,1,train
[C][O][C][=C][C][=C][C][Branch1][Branch2][C][C][=Branch1][C][=O][N][N][=C][O][C][Ring1][#Branch2][=C][Ring1][=C],-0.5017,1,train
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch1][Ring1][C][#N][C][Branch2][Ring2][=Branch2][N][C][=C][C][=C][Ring1][Branch1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][C][=C][N][=C][O][C][=N][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N][=C][Ring2][Ring2][=Branch1][C][#N],2.8411,1,train
