selfies,y,fidelity,source_split
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][O][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][Branch2][C][=C][N][=C][S][Ring1][Branch1][S][Ring1][S][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][#Branch2],7.8909,1,train
[O][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1],6.7819,1,train
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring2][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1],6.7696,1,train
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][Ring1][C][#N][=C][Branch1][Ring1][C][#N][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][Ring1][S],7.9884,1,train
[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][P][C][=N][C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][Ring1][=Branch2][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch2],6.0806,1,train
[O][=C][C][=C][NH1][C][=Branch1][C][=O][NH1][Ring1][#Branch1],9.7209,1,train
[N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],8.8053,1,train
[N][#C][C][=C][C][Branch2][Ring1][Branch1][C][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=N][C][Branch1][C][F][=C][Ring1][=Branch2][F][=C][Branch2][Ring1][Branch1][C][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=N][C][Branch1][C][F][=C][Ring1][=Branch2][F][C][=C][Ring2][Ring1][=C][C][#N],9.2038,1,train
[N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],8.3498,1,train
[C][C][=C][NH1][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O],9.129,1,train
[O][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P][C][=C][Branch1][Ring1][C][=O][C][Ring2][Ring1][Branch2],7.5284,1,train
[C][C][C][C][N][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][C][=C][C][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][Ring1][N][N][Branch1][Branch1][C][C][C][C][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1][Ring2][Ring2][Ring2],6.1052,1,train
[N][C][=C][C][=C][C][=N][C][Branch2][Ring2][N][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][O][=C][N][=C][Ring2][Ring2][Branch1][Ring2][Ring1][P],6.107,1,train
[C][O][C][=Branch1][C][=O][C][=N][C][Branch1][C][Cl][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][N],8.4822,1,train
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O],9.8381,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][Ring2][C][#C][C][=C][C][=C][Branch1][Branch2][C][N][=N][NH1][N][=Ring1][Branch1][C][=C][Ring1][O][C][=C][Ring2][Ring1][Ring1][O][C],7.1338,1,train
[N][#C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1],8.271,1,train
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1],8.8095,1,train
[C][C][Branch1][C][C][Branch1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],7.2602,1,train
[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],9.3416,1,train
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O],9.8381,1,train
[O][=C][C][=C][C][=C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][S][Ring1][#Branch2],8.1324,1,train
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],7.7123,1,train
[O][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P],7.0726,1,train
[O][=C][C][=C][NH1][C][=Branch1][C][=O][NH1][Ring1][#Branch1],9.7209,1,train
[N][#C][C][=C][C][=C][C][C][=C][NH1][C][Ring1][=Branch2][=Ring1][Branch1],8.2757,1,train
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][N][Ring1][=Branch1][C][=C][C][Branch2][Ring2][=Branch1][C][=C][S][C][=C][C][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1][Ring1][=N][C][=C][Ring2][Ring1][=Branch1][Ring2][Ring1][Ring1][=C][NH1][Ring2][Ring1][O],6.4174,1,train
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][S][N][C][=N][C][Branch1][C][Cl][=N][C][Branch1][C][Cl][=N][Ring1][Branch2][C][=C][C][=C][C][Ring2][Ring1][=Branch2][=C][Ring2][Ring1][Ring1][Ring1][=Branch1],7.5983,1,train
[O][=C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=C][C][=C][C][Ring2][Ring1][=C][=C][Ring2][Ring1][O][Ring1][=Branch1],7.1244,1,train
[C][C][=C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2],9.3421,1,train
[C][C][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],6.9455,1,train
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O],9.8381,1,train
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][C][=C][C][=C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][Ring1][N],8.0295,1,train
[C][O][C][=C][C][=C][N][=C][Branch1][C][N][S][C][Ring1][=Branch1][=C][Ring1][#Branch2],7.5633,1,train
[O][=C][C][=C][C][Branch1][#C][C][=C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][=C][C][=C][Ring1][S][O][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][Branch1][Branch2][C][=N][C][=C][NH1][Ring1][Branch1][=C][C][=C][Ring1][O][O][Ring1][=C][C][=C][Ring2][Ring2][=Branch1][Ring2][Ring1][Ring2],6.0418,1,train
[C][C][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P],6.9851,1,train
[C][S][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][C][=C][Ring2][Ring1][#Branch2][Ring2][Ring1][=Branch1],6.0017,1,train
[C][C][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],8.3836,1,train
[N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],8.3498,1,train
[C][C][C][C][C][C][C][Branch1][#Branch1][C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][#Branch1][=C][Ring2][Ring1][C][Ring1][=C][C][Ring2][Ring1][=Branch1][=O],7.2418,1,train
[C][O][C][=C][C][=C][Branch2][Ring2][#Branch1][C][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=N][N][Ring1][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][N],6.892,1,train
[N][#C][C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2][N],8.9239,1,train
[C][=C][S][C][=C][C][Branch2][Ring2][N][C][=N][C][=N][C][Branch2][Ring1][S][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][=C][C][=C][C][C][=C][O][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][NH1][Ring1][N][=N][Ring2][Ring1][O][=C][C][=C][Ring2][Ring1][P][N][Ring2][Ring2][Branch1],6.135,1,train
[O][=C][C][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][S][C][Ring2][Ring1][Branch2][=C][Ring1][=Branch1][Ring2][Ring1][=Branch1],6.0742,1,train
[C][=C][S][C][=C][C][Branch2][Ring2][O][C][=C][C][=N][C][Branch2][Ring1][#C][C][=C][C][=C][Branch2][Ring1][Ring1][N][C][=C][C][=C][C][O][C][=C][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][Ring1][N][N][=C][Ring2][Ring1][C][=N][Ring2][Ring1][Branch2][=C][C][=C][Ring2][Ring1][=C][N][Ring2][Ring2][C],6.0128,1,train
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1],8.8095,1,train
[C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][N][C][=C][Ring2][Ring1][C],7.5782,1,train
